City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Emerald,75,AU,1553553214,83,-23.53,148.16,78.8,8.05
Vung Tau,100,VN,1553553546,96,10.35,107.08,81.75,19.93
Pacifica,90,US,1553553391,87,37.61,-122.49,61.0,17.22
Port Alfred,88,ZA,1553552071,89,-33.59,26.89,66.0,1.01
Jamestown,0,AU,1553553550,68,-33.21,138.6,60.06,6.73
Mattru,20,SL,1553553321,73,7.62,-11.83,80.76,5.17
Simao,68,CN,1553553552,83,22.76,100.79,57.72,2.26
Hermanus,44,ZA,1553553135,95,-34.42,19.24,64.0,6.17
Bredasdorp,24,ZA,1553553061,82,-34.53,20.04,64.4,2.24
Thompson,75,CA,1553551200,29,55.74,-97.86,33.8,6.93
Punta Arenas,75,CL,1553552550,86,-53.16,-70.91,51.8,25.28
Vaini,24,IN,1553553259,86,15.34,74.49,69.15,2.15
Ushuaia,75,AR,1553551200,75,-54.81,-68.31,44.6,32.21
Butaritari,64,KI,1553553560,100,3.07,172.79,82.65,13.89
Cabo San Lucas,5,MX,1553553149,34,22.89,-109.91,86.0,11.41
Pontianak,40,ID,1553551200,100,-0.02,109.34,77.0,3.36
Concarneau,0,FR,1553553554,80,47.88,-3.92,43.0,6.93
Hay River,75,CA,1553551200,63,60.82,-115.79,44.6,11.41
Nyaunglebin,0,MM,1553553566,91,17.95,96.73,69.78,3.38
Qaanaaq,0,GL,1553553276,65,77.48,-69.36,-9.79,9.53
Riyadh,0,SA,1553551200,73,24.63,46.72,69.8,6.93
Mataura,92,NZ,1553553009,96,-46.19,168.86,59.0,4.0
Pevek,12,RU,1553553571,90,69.7,170.27,9.21,10.76
Rikitea,80,PF,1553553572,100,-23.12,-134.97,78.24,8.97
Atuona,0,PF,1553553573,100,-9.8,-139.03,82.47,14.79
Mar del Plata,0,AR,1553553463,100,-46.43,-67.52,50.16,7.63
Kavaratti,12,IN,1553553575,100,10.57,72.64,83.19,4.05
Tuktoyaktuk,75,CA,1553551200,92,69.44,-133.03,21.2,5.82
Kutulik,0,RU,1553553578,76,53.35,102.79,16.86,10.31
Kavieng,36,PG,1553553286,100,-2.57,150.8,81.84,4.16
Robertsport,92,LR,1553553580,100,6.75,-11.37,82.11,6.96
Albany,75,US,1553553424,17,42.65,-73.75,41.0,11.41
Wageningen,90,NL,1553553546,75,51.98,5.66,46.0,8.05
Longyearbyen,20,NO,1553550600,71,78.22,15.63,6.8,5.82
Makakilo City,90,US,1553553551,83,21.35,-158.09,80.6,12.75
Lagoa,0,PT,1553553429,67,37.14,-8.45,62.01,6.93
Lebu,20,ET,1553551200,17,8.96,38.73,64.4,3.36
Bonthe,0,SL,1553553589,84,7.53,-12.5,80.22,4.72
Kapaa,75,US,1553553496,69,22.08,-159.32,78.8,11.41
Rio Grande,0,BR,1553550300,64,-32.03,-52.1,68.0,5.82
Nikolskoye,90,RU,1553553471,93,59.7,30.79,34.0,13.42
Kodiak,40,US,1553553550,32,39.95,-94.76,55.99,11.41
Shelburne,20,CA,1553553525,46,44.08,-80.2,37.0,11.41
Wanning,75,AT,1553553538,80,48.64,13.53,39.2,10.29
Dunedin,92,NZ,1553553470,68,-45.87,170.5,72.57,12.21
Ribeira Grande,20,PT,1553547600,82,38.52,-28.7,59.0,6.93
Ialibu,8,PG,1553553599,82,-6.28,143.99,63.66,1.14
Nome,90,US,1553553569,88,30.04,-94.42,84.0,4.7
Presidencia Roque Saenz Pena,68,AR,1553553482,57,-26.79,-60.44,76.35,15.01
Marienburg,20,DE,1553553589,100,52.12,9.98,42.01,6.93
Bhunya,92,SZ,1553551200,100,-26.54,31.01,60.8,9.17
Poum,12,MK,1553553389,81,41.28,20.71,31.35,1.81
Mananjary,88,MG,1553553606,90,-19.16,46.8,62.67,2.59
Waingapu,76,ID,1553553607,96,-9.65,120.26,77.88,4.38
Teguldet,8,RU,1553553609,63,57.31,88.17,11.46,2.37
Orange,0,AU,1553553086,87,-33.28,149.1,55.99,5.01
Cape Town,0,ZA,1553553381,77,-33.93,18.42,64.0,21.92
Narsaq,68,GL,1553553613,83,60.91,-46.05,15.42,10.42
Avarua,92,CK,1553551200,83,-21.21,-159.78,84.2,10.29
Coolum Beach,76,AU,1553553606,69,-26.53,153.09,81.0,4.16
Guerrero Negro,12,MX,1553553617,48,27.97,-114.04,71.04,10.65
Toropets,76,RU,1553553619,91,56.5,31.64,29.55,7.18
Souillac,0,FR,1553553584,51,45.6,-0.6,46.99,9.17
Kenai,1,US,1553553092,60,60.55,-151.26,46.99,6.93
Honiara,32,SB,1553553623,84,-9.43,159.96,83.73,0.69
Hue,75,VN,1553551200,100,16.47,107.58,71.6,4.7
Qandala,0,SO,1553553625,94,11.47,49.87,67.44,2.93
Dejen,76,ET,1553553626,91,10.16,38.15,59.7,1.81
Luderitz,0,NA,1553553627,79,-26.65,15.16,60.69,15.68
Port Blair,0,IN,1553553416,100,11.67,92.75,83.01,8.75
Lockerbie,56,GB,1553553540,86,55.13,-3.35,46.0,9.17
Viedma,0,AR,1553553631,60,-40.81,-62.99,54.21,10.42
Mecca,92,SA,1553553366,40,21.43,39.83,67.62,7.18
Arraial do Cabo,0,BR,1553551200,88,-22.97,-42.02,75.2,3.36
Le Port,0,FR,1553553614,49,42.87,1.37,48.0,1.01
Talara,0,PE,1553551200,290,-4.58,-81.27,62.6,9.08
Ihosy,44,MG,1553553638,96,-22.4,46.13,60.69,1.92
Alofi,75,NU,1553551200,65,-19.06,-169.92,82.4,14.99
Makat,0,KZ,1553553641,89,47.65,53.35,32.52,3.15
Gwadar,8,PK,1553553642,94,25.12,62.33,67.98,3.15
Jaciara,12,BR,1553553643,69,-15.95,-54.98,78.78,2.59
Lang Son,68,VN,1553553644,97,21.83,106.73,63.12,1.59
Mochicahui,75,MX,1553553497,26,25.95,-108.93,87.01,16.11
Bilma,24,NE,1553553646,14,18.69,12.92,70.41,12.55
Klaksvik,92,FO,1553550600,93,62.23,-6.59,44.6,8.05
Santa Cruz de la Palma,44,ES,1553551200,72,28.68,-17.76,62.6,2.24
Busselton,12,AU,1553553619,45,-33.64,115.35,55.99,18.37
Puerto Ayora,0,EC,1553553114,74,-0.74,-90.35,82.4,9.17
Gamba,68,CN,1553553653,67,28.28,88.52,5.79,2.15
New Norfolk,75,AU,1553553616,44,-42.78,147.06,57.2,13.87
Hobart,40,AU,1553553315,43,-42.88,147.33,55.4,21.92
Saint-Philippe,1,CA,1553553608,33,45.36,-73.48,32.0,23.04
Santa Cruz,20,US,1553553616,55,36.97,-122.03,69.01,6.93
Aden,24,YE,1553553496,97,12.79,45.03,79.59,22.17
Barrow,88,AR,1553553661,66,-38.31,-60.23,56.01,7.63
Sao Joao da Barra,0,BR,1553551200,78,-21.64,-41.05,78.8,6.93
Port Shepstone,92,ZA,1553553663,100,-30.74,30.45,69.15,17.13
Dayong,56,PH,1553553665,100,11.74,122.04,79.23,17.25
Itaituba,48,BR,1553553666,94,-4.26,-55.99,77.34,2.15
Aras,0,YE,1553553669,74,14.28,44.38,39.36,2.15
Dakar,0,SN,1553551200,77,14.69,-17.45,68.0,6.93
Saint George,0,GR,1553553199,87,39.45,22.34,54.0,4.7
La Tuque,56,CA,1553553673,46,47.44,-72.79,17.67,9.19
Alekseyevka,0,RU,1553551200,74,53.25,50.49,33.8,13.42
Broome,8,GB,1553553675,93,52.47,1.45,41.0,2.24
Yellowknife,90,CA,1553553177,69,62.45,-114.38,35.6,12.75
Vao,24,EE,1553553678,86,59.1,26.19,28.74,9.64
Bluff,80,AU,1553553679,63,-23.58,149.07,81.93,5.17
Otane,0,NZ,1553553557,56,-39.89,176.62,72.0,8.99
Victoria,75,BN,1553551200,94,5.28,115.24,80.01,3.94
Sur,24,OM,1553553683,88,22.57,59.53,73.92,11.77
Hamilton,75,BM,1553553115,59,32.3,-64.78,64.4,5.82
Belton,8,US,1553553640,44,31.06,-97.46,79.0,11.41
Martapura,0,ID,1553553687,92,-3.41,114.85,80.76,3.94
Mopipi,0,BW,1553553688,43,-21.2,24.86,71.58,4.61
Russell,0,AR,1553551200,43,-33.01,-68.8,69.8,11.41
Santiago del Estero,92,AR,1553553690,98,-27.8,-64.26,61.59,12.44
Ilulissat,75,GL,1553550600,85,69.22,-51.1,24.8,10.29
Richards Bay,92,ZA,1553553693,99,-28.77,32.06,70.32,13.67
Faanui,64,PF,1553553694,100,-16.48,-151.75,82.38,13.22
Lakes Entrance,80,AU,1553553607,47,-37.88,147.99,61.0,4.0
Khatanga,88,RU,1553553696,86,71.98,102.47,21.54,14.34
Tasiilaq,92,GL,1553550600,79,65.61,-37.64,26.6,29.97
Adrar,0,DZ,1553551200,19,27.87,-0.29,78.8,18.34
Araouane,88,ML,1553553700,29,18.9,-3.53,84.36,6.96
Faya,20,SA,1553551200,72,18.39,42.45,62.6,9.17
Kaduna,44,NG,1553553702,59,10.52,7.44,69.78,2.71
Boa Vista,0,BR,1553551200,32,2.82,-60.67,95.0,8.05
San Pedro,0,AR,1553553202,64,-33.68,-59.66,59.0,1.99
Port Lincoln,36,AU,1553553708,89,-34.72,135.86,64.56,7.85
Baykit,0,RU,1553553709,65,61.68,96.39,9.75,4.61
Pangnirtung,90,CA,1553551200,55,66.15,-65.72,10.4,5.82
Flagstaff,1,US,1553553353,18,35.2,-111.65,66.99,6.93
Batagay,0,RU,1553553712,67,67.65,134.64,-5.2,3.6
Hami,12,CN,1553553714,72,42.84,93.51,35.76,3.15
Fortuna,0,ES,1553553696,71,38.18,-1.13,55.99,2.24
Saskylakh,68,RU,1553553716,56,71.97,114.09,-5.83,3.83
Shieli,56,KZ,1553553717,53,44.18,66.74,49.26,11.65
Castleford,0,GB,1553553665,79,53.72,-1.35,43.0,4.7
Boende,64,CD,1553553720,97,-0.28,20.88,72.48,2.15
Tuatapere,36,NZ,1553553607,96,-46.13,167.69,59.0,1.99
Palmer,90,US,1553553718,56,61.6,-149.11,46.99,4.7
Usogorsk,88,RU,1553553723,89,63.43,48.71,29.01,5.39
East London,88,ZA,1553553724,100,-33.02,27.91,69.51,19.26
Hithadhoo,92,MV,1553553726,100,-0.6,73.08,84.18,9.08
Taoudenni,92,ML,1553553727,95,22.68,-3.98,64.74,8.41
